refno,aquifer,wb_ft,rock_top_ft
204156,Bedrock,26,
204081,Bedrock,24,
193869,Bedrock,100,120
194469,Bedrock,2,63
194337,Bedrock,18,78
203908,Bedrock,25,
195530,Bedrock,3,8
363511,Bedrock,46,
204327,Bedrock,13,
362161,Bedrock,67,
303578,Bedrock,33,33
320944,Bedrock,5,
336136,Bedrock,16,160
56498,Bedrock,10,28
197802,Bedrock,3,70
18207,Bedrock,20,13
204319,Bedrock,12,
214339,Bedrock,45,50
198910,Bedrock,2,22
198989,Bedrock,40,200
196217,Bedrock,84,93
194466,Bedrock,2,56
336318,Bedrock,29,29
305228,Bedrock,37,
198706,Bedrock,7,74
56047,Bedrock,12,12
198833,Bedrock,20,
389037,Bedrock,1,33
198944,Bedrock,3,70
364204,Bedrock,3,
214332,Bedrock,33,
198746,Bedrock,2,52
267962,Bedrock,14,46
14663,Bedrock,18,30
198427,Bedrock,1,
198447,Bedrock,1,
305842,Bedrock,42,77
305835,Bedrock,25,54
198528,Bedrock,10,40
350734,Bedrock,17,21
195387,Bedrock,39,
14454,Bedrock,5,20
196353,Bedrock,2,
305850,Bedrock,35,90
15126,Bedrock,11,23
194473,Bedrock,15,50
205089,Bedrock,52,55
168259,Bedrock,25,
194624,Bedrock,3,
198574,Bedrock,30,45
270128,Bedrock,23,34
198548,Bedrock,11,35
196425,Bedrock,23,
198583,Bedrock,14,39
195354,Bedrock,5,
56438,Bedrock,2,23
377029,Bedrock,11,111
75411,Bedrock,3,31
196286,Bedrock,4,35
305858,Bedrock,2,
305859,Bedrock,2,4
86642,Bedrock,15,
194664,Bedrock,4,24
307286,Bedrock,47,54
185465,Bedrock,37,37
189190,Bedrock,4,44
322798,Bedrock,14,28
299875,Bedrock,14,14
14470,Bedrock,30,30
185223,Bedrock,10,
214326,Bedrock,9,88
336316,Bedrock,78,103
185596,Bedrock,29,
185525,Bedrock,2,20
186707,Bedrock,6,
191686,Bedrock,10,
185495,Bedrock,1,15
186671,Bedrock,2,68
214941,Bedrock,4,75
383526,Bedrock,5,39
185500,Bedrock,4,20
189042,Bedrock,12,
350950,Bedrock,8,8
351614,Bedrock,26,68
185114,Bedrock,16,
43374,Bedrock,5,182
43307,Bedrock,4,114
305838,Bedrock,31,43
305844,Bedrock,43,43
185768,Bedrock,5,65
315651,Bedrock,6,75
214348,Bedrock,27,27
305234,Bedrock,15,25
335158,Bedrock,6,107
305226,Bedrock,17,85
303546,Bedrock,12,22
185345,Bedrock,47,
383271,Bedrock,18,35
54603,Bedrock,26,84
