refno,aquifer,v1_wb_ft,v2_uncon_ft,v2_rock_top_ft
693,Bedrock,34,,5
31212,Bedrock,34,,5
31163,Bedrock,17,,8
30635,Bedrock,6,,20
28569,Bedrock,7,,7
5871,Bedrock,16,,4
28575,Bedrock,100,,17
30647,Bedrock,55,,43
218146,Bedrock,1,,8
30642,Bedrock,1,,12
323779,Bedrock,41,,23
292206,Bedrock,2,,17
218785,Bedrock,3,,78
213753,Bedrock,35,,35
28813,Bedrock,12,,10
28811,Bedrock,25,,12
28609,Bedrock,23,,6
28637,Bedrock,45,,12
28806,Bedrock,29,,15
28736,Bedrock,35,,12
218168,Bedrock,4,,12
218273,Bedrock,18,,20
218257,Bedrock,6,,25
28651,Bedrock,30,,30
28757,Bedrock,50,,10
28617,Bedrock,13,,52
369397,Bedrock,1,,37
52694,Bedrock,32,,10
28770,Bedrock,10,,18
227738,Bedrock,10,,12
369383,Bedrock,2,,15
270195,Bedrock,10,,25
227739,Bedrock,10,,20
222973,Bedrock,38,,8
305330,Bedrock,94,,6
305331,Bedrock,76,,18
5704,Bedrock,18,,28
19787,Bedrock,52,,10
332877,Bedrock,5,,45
20679,Bedrock,37,,14
222216,Bedrock,30,,15
222266,Bedrock,7,,30
272042,Bedrock,5,,8
222705,Bedrock,4,,30
7443,Bedrock,13,,7
294288,Bedrock,14,,8
222042,Bedrock,10,,14
303957,Bedrock,2,,48
234106,Bedrock,3,,125
222404,Bedrock,7,,7
222053,Bedrock,25,,14
222464,Bedrock,6,,8
369358,Bedrock,2,,169
216198,Bedrock,1,,2
222272,Bedrock,4,,4
211147,Bedrock,105,,8
212585,Bedrock,1,,95
19823,Bedrock,8,,58
213236,Bedrock,3,,29
248943,Bedrock,3,,44
216091,Bedrock,8,,22
215240,Bedrock,5,,52
213202,Bedrock,2,,25
210721,Bedrock,7,,25
213716,Bedrock,1,,100
215266,Bedrock,9,,9
210671,Bedrock,10,,11
213212,Bedrock,1,,18
211454,Bedrock,1,,16
371402,Bedrock,35,,23
